"File","Line","Col","Msg"
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\circuit_heart.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\circuit_pattern.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\cyber_eye.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\cyber_skull.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\data_stream.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\glitch_heart.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\hologram_star.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\hologram_text.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\neon_arrow.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\neon_bolt.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\neon_diamond.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\arrow.svg","9","3","The 'g' start tag on line 2 position 4 does not match the end tag of 'svg'. Line 9, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\double_hearts.svg","23","3","The 'g' start tag on line 12 position 4 does not match the end tag of 'svg'. Line 23, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\glitter_stars.svg","16","3","The 'g' start tag on line 3 position 6 does not match the end tag of 'svg'. Line 16, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\heartbeat.svg","12","3","The 'g' start tag on line 3 position 4 does not match the end tag of 'svg'. Line 12, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\heart_broken.svg","22","3","The 'g' start tag on line 13 position 4 does not match the end tag of 'svg'. Line 22, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\kiss_mark.svg","21","3","The 'g' start tag on line 12 position 4 does not match the end tag of 'svg'. Line 21, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\love_note.svg","10","3","The 'g' start tag on line 3 position 4 does not match the end tag of 'svg'. Line 10, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\rose.svg","15","3","The 'g' start tag on line 8 position 4 does not match the end tag of 'svg'. Line 15, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\neon_hearts\stickers\sparkle_heart.svg","25","3","The 'g' start tag on line 14 position 6 does not match the end tag of 'svg'. Line 25, position 3."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\witchy_moods\stickers\candle.svg","19","5","The 'path' start tag on line 17 position 4 does not match the end tag of 'g'. Line 19, position 5."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\witchy_moods\stickers\eye.svg","20","5","The 'circle' start tag on line 18 position 4 does not match the end tag of 'g'. Line 20, position 5."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\witchy_moods\stickers\spellbook.svg","19","5","The 'path' start tag on line 16 position 4 does not match the end tag of 'g'. Line 19, position 5."
